module,type,name,res_id,src,value,comments
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_medication__medical_drug_route_id, Administration Route , Administration Route ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_medication1__drug_route_id, Administration Route , Administration Route ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_medication__route, Administration Route , Administration Route ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_rounding__pupil_consensual_resp, Consensual Response , Consensual Response ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__diet, Currently on a diet , Currently on a diet ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__diet_info, Diet info , Diet info ,
basic_hms,code,addons/basic_hms/model/medical_appointment.py,94, Invoice is Already Exist, Invoice is Already Exist,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_rounding_medical_supply__medical_patient_rounding_medical_supply_id, Medical Supplies , Medical Supplies ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_rounding__necrotizing_fasciitis, Necrotizing fasciitis , Necrotizing fasciitis ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_rounding__oral_mucosa_lesion, Oral mucosa lesion , Oral mucosa lesion ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_inpatient_diet__remarks, Remarks / Directions , Remarks / Directions ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient__sex_with_prostitutes, Sex with prostitutes , Sex with prostitutes ,
basic_hms,code,addons/basic_hms/model/medical_appointment.py,127, The Appointment is invoice exempt, The Appointment is invoice exempt,
basic_hms,code,addons/basic_hms/wizard/medical_appointments_invoice_wizard.py,85, The Appointment is invoice exempt   , The Appointment is invoice exempt   ,
basic_hms,model,"ir.model.fields,field_description",basic_hms.field_medical_patient_rounding__trachea_alignment, Tracheal alignment , Tracheal alignment ,
